VDOT Easy-KM Easy-Mile Long-KM Long-Mile Marathon-KM Marathon-Mile Threshold-KM Threshold-Mile Recovery-KM Recovery-Mile Interval-KM Interval-Mile Repetition-KM Repetition-Mile 1,500-KM 1,500-Mile Mile-KM Mile-Mile 3,000-KM 3,000-Mile 2Mile-KM 2Mile-Mile 5,000-KM 5,000-Mile 10K-KM 10K-Mile 15K-KM 15K-Mile 10Mile-KM 10Mile-Mile HalfMarathon-KM HalfMarathon-Mile Marathon-KM Marathon-Mile
51 4:52 7:49 5:29 8:49 4:27 7:09 4:11 6:44 5:31 8:52 3:50 6:10 3:35 5:46 3:32 5:41 3:33 5:44 3:48 6:07 3:47 6:05 3:55 6:18 4:03 6:32 4:10 6:42 4:11 6:44 4:16 6:52 4:26 7:09
52 4:47 7:42 5:24 8:41 4:22 7:02 4:07 6:38 5:26 8:45 3:46 6:04 3:32 5:41 3:28 5:35 3:30 5:38 3:44 6:01 3:43 5:58 3:51 6:12 3:59 6:26 4:05 6:35 4:07 6:37 4:11 6:45 4:22 7:02
53 4:43 7:35 5:19 8:33 4:18 6:56 4:04 6:32 5:22 8:38 3:44 6:00 3:30 5:37 3:24 5:29 3:26 5:32 3:40 5:55 3:39 5:52 3:47 6:06 3:56 6:19 4:01 6:29 4:03 6:31 4:07 6:38 4:18 6:55
54 4:38 7:28 5:14 8:26 4:14 6:49 4:00 6:26 5:18 8:32 3:40 5:55 3:25 5:29 3:21 5:24 3:23 5:27 3:37 5:49 3:35 5:47 3:44 6:00 3:52 6:13 3:58 6:23 3:59 6:25 4:03 6:32 4:14 6:49
55 4:34 7:21 5:10 8:18 4:10 6:43 3:56 6:20 5:14 8:25 3:37 5:50 3:22 5:25 3:18 5:18 3:19 5:21 3:33 5:44 3:32 5:41 3:40 5:54 3:48 6:07 3:54 6:16 3:55 6:18 3:59 6:25 4:10 6:42
56 4:30 7:15 5:05 8:11 4:06 6:37 3:53 6:15 5:11 8:19 3:35 5:46 3:20 5:21 3:15 5:14 3:16 5:16 3:30 5:38 3:29 5:36 3:37 5:49 3:45 6:02 3:50 6:11 3:51 6:13 3:56 6:19 4:06 6:36
57 4:26 7:08 5:01 8:04 4:03 6:31 3:50 6:09 5:07 8:13 3:31 5:40 3:15 5:13 3:12 5:08 3:13 5:11 3:26 5:33 3:25 5:30 3:33 5:44 3:41 5:56 3:47 6:05 3:48 6:07 3:52 6:13 4:02 6:30
58 4:22 7:02 4:57 7:58 3:59 6:25 3:46 6:04 5:03 8:08 3:28 5:35 3:11 5:08 3:09 5:04 3:10 5:06 3:23 5:28 3:22 5:26 3:30 5:38 3:38 5:51 3:43 5:59 3:44 6:01 3:48 6:08 3:59 6:24
59 4:19 6:56 4:53 7:51 3:56 6:19 3:43 5:59 5:00 8:02 3:25 5:31 3:10 5:05 3:06 4:59 3:07 5:02 3:20 5:23 3:19 5:20 3:27 5:33 3:35 5:46 3:40 5:54 3:41 5:56 3:45 6:02 3:55 6:19
60 4:15 6:50 4:49 7:45 3:52 6:14 3:40 5:54 4:57 7:57 3:22 5:25 3:06 5:00 3:03 4:55 3:04 4:57 3:17 5:18 3:16 5:16 3:24 5:29 3:32 5:41 3:37 5:49 3:38 5:51 3:42 5:57 3:52 6:13
